X_Serie_0,Y_Serie_0
9.0405E-001,-9.6530E-005
1.4186E+000,-9.6196E-005
1.9346E+000,-9.6281E-005
2.4491E+000,-9.5839E-005
2.9642E+000,-9.5667E-005
3.4786E+000,-9.5856E-005
3.9923E+000,-9.5938E-005
4.5076E+000,-9.6094E-005
5.0233E+000,-9.6246E-005
5.5380E+000,-9.6393E-005
6.0523E+000,-9.6334E-005
6.5670E+000,-9.6284E-005
7.0824E+000,-9.6197E-005
7.5960E+000,-9.6084E-005
8.1113E+000,-9.6007E-005
8.6257E+000,-9.5995E-005
9.1410E+000,-9.6230E-005
9.6557E+000,-9.6457E-005
1.0170E+001,-9.6464E-005
1.0686E+001,-9.6425E-005
1.1200E+001,-9.6324E-005
1.1715E+001,-9.6117E-005
1.2230E+001,-9.5801E-005
1.2744E+001,-9.5737E-005
1.3259E+001,-9.5809E-005
1.3774E+001,-9.5711E-005
1.4289E+001,-9.5933E-005
1.4803E+001,-9.6088E-005
1.5318E+001,-9.5620E-005
1.5833E+001,-9.5021E-005
1.6347E+001,-9.4109E-005
1.6862E+001,-9.3792E-005
1.7377E+001,-9.3922E-005
1.7892E+001,-9.3990E-005
1.8406E+001,-9.3456E-005
1.8921E+001,-9.3372E-005
1.9436E+001,-9.3440E-005
1.9951E+001,-9.3776E-005
2.0466E+001,-9.4042E-005
2.0980E+001,-9.4572E-005
2.1494E+001,-9.4900E-005
2.2010E+001,-9.4372E-005
2.2524E+001,-9.4095E-005
2.3039E+001,-9.4233E-005
2.3554E+001,-9.4070E-005
2.4069E+001,-9.3538E-005
2.4583E+001,-9.2988E-005
2.5098E+001,-9.2839E-005
2.5613E+001,-9.3155E-005
2.6128E+001,-9.3338E-005
2.6642E+001,-9.3821E-005
2.7157E+001,-9.3982E-005
2.7672E+001,-9.4105E-005
2.8187E+001,-9.4296E-005
2.8701E+001,-9.4326E-005
2.9216E+001,-9.4692E-005
2.9731E+001,-9.5054E-005
3.0246E+001,-9.4212E-005
3.0760E+001,-9.3765E-005
3.1275E+001,-9.3633E-005
3.1790E+001,-9.3417E-005
3.2305E+001,-9.3528E-005
3.2819E+001,-9.3927E-005
3.3334E+001,-9.4246E-005
3.3849E+001,-9.4514E-005
3.4364E+001,-9.4526E-005
3.4879E+001,-9.4680E-005
3.5393E+001,-9.4640E-005
3.5908E+001,-9.4401E-005
3.6423E+001,-9.4610E-005
3.6938E+001,-9.4589E-005
3.7452E+001,-9.5131E-005
3.7967E+001,-9.5826E-005
