X_Serie_0,Y_Serie_0
9.0405E-001,-9.4587E-005
1.4186E+000,-9.6591E-005
1.9346E+000,-9.7676E-005
2.4491E+000,-9.7674E-005
2.9642E+000,-9.8015E-005
3.4786E+000,-9.7700E-005
3.9923E+000,-9.7255E-005
4.5076E+000,-9.7348E-005
5.0233E+000,-9.7518E-005
5.5380E+000,-9.7742E-005
6.0524E+000,-9.7765E-005
6.5670E+000,-9.7736E-005
7.0824E+000,-9.7267E-005
7.5960E+000,-9.6959E-005
8.1113E+000,-9.6710E-005
8.6257E+000,-9.6302E-005
9.1410E+000,-9.6144E-005
9.6557E+000,-9.6016E-005
1.0170E+001,-9.6030E-005
1.0686E+001,-9.6614E-005
1.1200E+001,-9.7242E-005
1.1715E+001,-9.7484E-005
1.2230E+001,-9.7883E-005
1.2744E+001,-9.8539E-005
1.3259E+001,-9.8991E-005
1.3774E+001,-9.8272E-005
1.4289E+001,-9.7629E-005
1.4803E+001,-9.7378E-005
1.5318E+001,-9.7705E-005
1.5833E+001,-9.7245E-005
1.6347E+001,-9.6601E-005
1.6862E+001,-9.6284E-005
1.7377E+001,-9.6105E-005
1.7892E+001,-9.5509E-005
1.8406E+001,-9.4745E-005
1.8921E+001,-9.4796E-005
1.9436E+001,-9.5526E-005
1.9951E+001,-9.5645E-005
2.0466E+001,-9.5240E-005
2.0980E+001,-9.5178E-005
2.1494E+001,-9.5178E-005
2.2010E+001,-9.4608E-005
2.2524E+001,-9.4908E-005
2.3039E+001,-9.4769E-005
2.3554E+001,-9.4067E-005
2.4069E+001,-9.4177E-005
2.4583E+001,-9.4479E-005
2.5098E+001,-9.5229E-005
2.5613E+001,-9.4943E-005
2.6128E+001,-9.4397E-005
2.6642E+001,-9.4629E-005
2.7157E+001,-9.5075E-005
2.7672E+001,-9.5122E-005
2.8187E+001,-9.5022E-005
2.8701E+001,-9.4665E-005
2.9216E+001,-9.4335E-005
2.9731E+001,-9.3961E-005
3.0246E+001,-9.3435E-005
3.0760E+001,-9.3765E-005
3.1275E+001,-9.4279E-005
3.1790E+001,-9.4080E-005
3.2305E+001,-9.3940E-005
3.2819E+001,-9.3466E-005
3.3334E+001,-9.2867E-005
3.3849E+001,-9.3051E-005
3.4364E+001,-9.3171E-005
3.4879E+001,-9.2984E-005
3.5393E+001,-9.3322E-005
3.5908E+001,-9.3962E-005
3.6423E+001,-9.4550E-005
3.6938E+001,-9.3811E-005
3.7452E+001,-9.2738E-005
3.7967E+001,-9.2939E-005
3.8482E+001,-9.3318E-005
3.8996E+001,-9.3878E-005
3.9511E+001,-9.4451E-005
4.0026E+001,-9.4445E-005
4.0541E+001,-9.3715E-005
4.1055E+001,-9.2991E-005
4.1570E+001,-9.2790E-005
4.2085E+001,-9.3424E-005
4.2600E+001,-9.3920E-005
4.3114E+001,-9.4385E-005
4.3629E+001,-9.4742E-005
4.4144E+001,-9.5353E-005
4.4659E+001,-9.5365E-005
4.5174E+001,-9.4674E-005
4.5688E+001,-9.4742E-005
4.6203E+001,-9.4716E-005
4.6718E+001,-9.4540E-005
4.7233E+001,-9.4215E-005
4.7747E+001,-9.4026E-005
4.8262E+001,-9.4313E-005
4.8777E+001,-9.4161E-005
4.9292E+001,-9.4308E-005
4.9806E+001,-9.4908E-005
5.0321E+001,-9.4288E-005
5.0836E+001,-9.4206E-005
5.1351E+001,-9.4895E-005
5.1865E+001,-9.4870E-005
5.2380E+001,-9.4896E-005
5.2895E+001,-9.5389E-005
5.3410E+001,-9.5449E-005
5.3924E+001,-9.5596E-005
