*Part, name=Part-1
*Nodes
1993;2.19054963;0.56993746;0.0
1994;2.22055709;0.56993697;0.0
1995;2.25056456;0.56993645;0.0
1996;2.28057203;0.56993590;0.0
1997;2.31057951;0.56993533;0.0
1998;2.34058700;0.56993473;0.0
1999;2.37059449;0.56993409;0.0
2000;2.40060199;0.56993343;0.0
2001;2.43060950;0.56993273;0.0
2002;2.46061702;0.56993199;0.0
2003;2.49062455;0.56993121;0.0
2004;2.52063209;0.56993039;0.0
2005;2.55063965;0.56992953;0.0
2006;2.58064722;0.56992862;0.0
2007;2.61065480;0.56992766;0.0
2008;2.64066240;0.56992665;0.0
2009;2.67067002;0.56992558;0.0
2010;2.70067766;0.56992444;0.0
2011;2.73068532;0.56992325;0.0
2012;2.76069300;0.56992198;0.0
2013;2.79070070;0.56992064;0.0
2014;2.82070843;0.56991922;0.0
2015;2.85071618;0.56991771;0.0
2016;2.88072396;0.56991612;0.0
2017;2.91073176;0.56991442;0.0
2018;2.94073959;0.56991263;0.0
2019;2.97074744;0.56991073;0.0
2020;3.00075532;0.56990871;0.0
2021;0.00000000;0.59994393;0.0
2022;0.03000762;0.59994392;0.0
2023;0.06001524;0.59994392;0.0
2024;0.09002287;0.59994392;0.0
2025;0.12003049;0.59994391;0.0
2026;0.15003811;0.59994391;0.0
2027;0.18004573;0.59994390;0.0
2028;0.21005335;0.59994389;0.0
2029;0.24006097;0.59994389;0.0
2030;0.27006859;0.59994387;0.0
2031;0.30007620;0.59994386;0.0
2032;0.33008382;0.59994385;0.0
2033;0.36009143;0.59994383;0.0
2034;0.39009905;0.59994382;0.0
2035;0.42010666;0.59994380;0.0
2036;0.45011427;0.59994378;0.0
2037;0.48012187;0.59994376;0.0
2038;0.51012948;0.59994374;0.0
2039;0.54013708;0.59994371;0.0
2040;0.57014468;0.59994369;0.0
2041;0.60015228;0.59994366;0.0
2042;0.63015988;0.59994363;0.0
2043;0.66016747;0.59994359;0.0
2044;0.69017507;0.59994356;0.0
2045;0.72018266;0.59994352;0.0
2046;0.75019024;0.59994348;0.0
2047;0.78019782;0.59994344;0.0
2048;0.81020540;0.59994339;0.0
2049;0.84021298;0.59994334;0.0
2050;0.87022056;0.59994329;0.0
2051;0.90022813;0.59994324;0.0
2052;0.93023570;0.59994318;0.0
2053;0.96024326;0.59994312;0.0
2054;0.99025082;0.59994305;0.0
2055;1.02025838;0.59994298;0.0
2056;1.05026593;0.59994291;0.0
2057;1.08027349;0.59994283;0.0
2058;1.11028103;0.59994275;0.0
2059;1.14028858;0.59994266;0.0
2060;1.17029612;0.59994257;0.0
2061;1.20030366;0.59994247;0.0
2062;1.23031119;0.59994237;0.0
2063;1.26031872;0.59994226;0.0
2064;1.29032625;0.59994215;0.0
2065;1.32033377;0.59994203;0.0
2066;1.35034129;0.59994190;0.0
2067;1.38034881;0.59994177;0.0
2068;1.41035632;0.59994163;0.0
2069;1.44036383;0.59994148;0.0
2070;1.47037133;0.59994132;0.0
2071;1.50037884;0.59994116;0.0
2072;1.53038634;0.59994099;0.0
2073;1.56039383;0.59994081;0.0
2074;1.59040133;0.59994062;0.0
2075;1.62040882;0.59994042;0.0
2076;1.65041631;0.59994021;0.0
2077;1.68042379;0.59993999;0.0
2078;1.71043128;0.59993976;0.0
2079;1.74043876;0.59993952;0.0
2080;1.77044624;0.59993926;0.0
2081;1.80045372;0.59993900;0.0
2082;1.83046119;0.59993872;0.0
2083;1.86046867;0.59993842;0.0
2084;1.89047614;0.59993811;0.0
2085;1.92048362;0.59993779;0.0
2086;1.95049109;0.59993745;0.0
2087;1.98049857;0.59993710;0.0
2088;2.01050604;0.59993672;0.0
2089;2.04051352;0.59993633;0.0
2090;2.07052099;0.59993592;0.0
2091;2.10052847;0.59993549;0.0
2092;2.13053595;0.59993504;0.0
2093;2.16054344;0.59993457;0.0
2094;2.19055093;0.59993407;0.0
2095;2.22055842;0.59993355;0.0
2096;2.25056591;0.59993300;0.0
2097;2.28057341;0.59993243;0.0
2098;2.31058092;0.59993182;0.0
2099;2.34058844;0.59993119;0.0
2100;2.37059596;0.59993052;0.0
2101;2.40060349;0.59992982;0.0
2102;2.43061103;0.59992908;0.0
2103;2.46061858;0.59992831;0.0
2104;2.49062614;0.59992749;0.0
2105;2.52063371;0.59992663;0.0
2106;2.55064130;0.59992572;0.0
2107;2.58064890;0.59992477;0.0
2108;2.61065652;0.59992376;0.0
2109;2.64066416;0.59992270;0.0
2110;2.67067181;0.59992158;0.0
2111;2.70067948;0.59992040;0.0
2112;2.73068717;0.59991915;0.0
2113;2.76069488;0.59991783;0.0
2114;2.79070262;0.59991643;0.0
2115;2.82071037;0.59991495;0.0
2116;2.85071816;0.59991339;0.0
2117;2.88072596;0.59991174;0.0
2118;2.91073379;0.59990998;0.0
2119;2.94074165;0.59990813;0.0
2120;2.97074953;0.59990617;0.0
2121;3.00075743;0.59990409;0.0
2122;0.00000000;0.62994105;0.0
2123;0.03000764;0.62994105;0.0
2124;0.06001527;0.62994105;0.0
2125;0.09002291;0.62994105;0.0
2126;0.12003055;0.62994104;0.0
2127;0.15003818;0.62994103;0.0
