0.000000000000000000e+00 0.000000000000000000e+00 6.920750662323138141e-21 0.000000000000000000e+00 2.493483540097111788e-04 -9.233789626209282892e-05 -2.266757375153969050e-09 5.930177033637637862e+01 4.106299138623413114e+00 -3.661684990633335139e-04
3.030303030303030387e-02 0.000000000000000000e+00 7.555949116112145278e-06 0.000000000000000000e+00 2.493482902979946123e-04 -9.233821008779864823e-05 -2.080822401375153644e-09 5.930171430437290780e+01 4.106202703590914105e+00 -3.361328494529094882e-04
6.060606060606060774e-02 0.000000000000000000e+00 1.511189823222428378e-05 0.000000000000000000e+00 2.493482265862780457e-04 -9.233852391350446753e-05 -1.894887427596338237e-09 5.930165827236944409e+01 4.106106268558414207e+00 -3.060971998424854624e-04
9.090909090909091161e-02 0.000000000000000000e+00 2.266784734833643668e-05 0.000000000000000000e+00 2.493481628745614792e-04 -9.233883773921027329e-05 -1.708952453817522416e-09 5.930160224036596617e+01 4.106009833525915198e+00 -2.760615502320613824e-04
1.212121212121212155e-01 0.000000000000000000e+00 3.022379646444857434e-05 0.000000000000000000e+00 2.493480991628448584e-04 -9.233915156491609259e-05 -1.523017480038707010e-09 5.930154620836249535e+01 4.105913398493415301e+00 -2.460259006216373567e-04
1.515151515151515194e-01 0.000000000000000000e+00 3.777974558056072893e-05 0.000000000000000000e+00 2.493480354511282918e-04 -9.233946539062191190e-05 -1.337082506259891396e-09 5.930149017635903164e+01 4.105816963460916291e+00 -2.159902510112133309e-04
1.818181818181818232e-01 0.000000000000000000e+00 4.533569469667289369e-05 0.000000000000000000e+00 2.493479717394117253e-04 -9.233977921632770410e-05 -1.151147532481074955e-09 5.930143414435555371e+01 4.105720528428416394e+00 -1.859546014007891154e-04
2.121212121212121271e-01 0.000000000000000000e+00 5.289164381278503135e-05 0.000000000000000000e+00 2.493479080276951045e-04 -9.234009304203350985e-05 -9.652125587022595483e-10 5.930137811235208289e+01 4.105624093395916496e+00 -1.559189517903650896e-04
2.424242424242424310e-01 0.000000000000000000e+00 6.044759292889716900e-05 0.000000000000000000e+00 2.493478443159784837e-04 -9.234040686773932916e-05 -7.792775849234441415e-10 5.930132208034861208e+01 4.105527658363416599e+00 -1.258833021799410639e-04
2.727272727272727071e-01 0.000000000000000000e+00 6.800354204500930666e-05 0.000000000000000000e+00 2.493477806042619172e-04 -9.234072069344516202e-05 -5.933426111446289415e-10 5.930126604834514126e+01 4.105431223330917589e+00 -9.584765256951711943e-05
3.030303030303030387e-01 0.000000000000000000e+00 7.555949116112144431e-05 0.000000000000000000e+00 2.493477168925453506e-04 -9.234103451915095422e-05 -4.074076373658135347e-10 5.930121001634167044e+01 4.105334788298417692e+00 -6.581200295909309366e-05
3.333333333333333703e-01 0.000000000000000000e+00 8.311544027723360907e-05 0.000000000000000000e+00 2.493476531808287841e-04 -9.234134834485677353e-05 -2.214726635869973007e-10 5.930115398433819962e+01 4.105238353265918683e+00 -3.577635334866895948e-05
3.636363636363636465e-01 0.000000000000000000e+00 9.067138939334574673e-05 0.000000000000000000e+00 2.493475894691121633e-04 -9.234166217056257928e-05 -3.553768980818189395e-11 5.930109795233473591e+01 4.105141918233418785e+00 -5.740703738244933713e-06
3.939393939393939226e-01 0.000000000000000000e+00 9.822733850945788439e-05 0.000000000000000000e+00 2.493475257573955967e-04 -9.234197599626839858e-05 1.503972839706337196e-10 5.930104192033126509e+01 4.105045483200919776e+00 2.429494587217909205e-05
4.242424242424242542e-01 0.000000000000000000e+00 1.057832876255700491e-04 0.000000000000000000e+00 2.493474620456789760e-04 -9.234228982197420434e-05 3.363322577494499536e-10 5.930098588832778717e+01 4.104949048168419878e+00 5.433059548260322624e-05
4.545454545454545858e-01 0.000000000000000000e+00 1.133392367416821868e-04 0.000000000000000000e+00 2.493473983339624094e-04 -9.234260364768002364e-05 5.222672315282653604e-10 5.930092985632431635e+01 4.104852613135919981e+00 8.436624509302725200e-05
4.848484848484848619e-01 0.000000000000000000e+00 1.208951858577943245e-04 0.000000000000000000e+00 2.493473346222458429e-04 -9.234291747338582940e-05 7.082022053070807672e-10 5.930087382432084553e+01 4.104756178103420083e+00 1.144018947034512778e-04
5.151515151515151381e-01 0.000000000000000000e+00 1.284511349739064757e-04 0.000000000000000000e+00 2.493472709105292221e-04 -9.234323129909164870e-05 8.941371790858961740e-10 5.930081779231737471e+01 4.104659743070921074e+00 1.444375443138753035e-04
5.454545454545454142e-01 0.000000000000000000e+00 1.360070840900186133e-04 0.000000000000000000e+00 2.493472071988126555e-04 -9.234354512479745446e-05 1.080072152864711581e-09 5.930076176031390389e+01 4.104563308038421177e+00 1.744731939242993293e-04
5.757575757575758013e-01 0.000000000000000000e+00 1.435630332061307781e-04 0.000000000000000000e+00 2.493471434870960348e-04 -9.234385895050327376e-05 1.266007126643527815e-09 5.930070572831043307e+01 4.104466873005921279e+00 2.045088435347234635e-04
6.060606060606060774e-01 0.000000000000000000e+00 1.511189823222429157e-04 0.000000000000000000e+00 2.493470797753794682e-04 -9.234417277620907952e-05 1.451942100422343222e-09 5.930064969630696226e+01 4.104370437973422270e+00 2.345444931451474892e-04
6.363636363636363535e-01 0.000000000000000000e+00 1.586749314383550534e-04 0.000000000000000000e+00 2.493470160636629017e-04 -9.234448660191489882e-05 1.637877074201158628e-09 5.930059366430349144e+01 4.104274002940922372e+00 2.645801427555715150e-04
